id,name,url,country,country_es,iso2,continent,service_type,registration,capability_text,capability_image,capability_voice,capability_files,capability_web_search,status,last_manual_verification,operator_country,duplicate_of,country_confidence
pl-pllum-chat,PLLuM Chat,https://pllum.clarin-pl.eu/pllum_8x7b,Poland,Polonia,PL,Europe,model-chat,unknown,true,,,,,ACTIVE,2026-09-10,Poland,,verified
ru-alice-yandex,Alice (Yandex),https://alice.yandex.ru/,Russia,Rusia,RU,Europe / Asia,assistant,optional,true,true,true,true,true,ACTIVE,2026-09-10,Russia,,verified
ru-gigachat,GigaChat,https://giga.chat/,Russia,Rusia,RU,Europe / Asia,assistant,unknown,true,,,,,ACTIVE,2026-09-10,,,curator-verified
sg-sea-lion-playground,SEA-LION Playground,https://playground.sea-lion.ai/chat,Singapore,Singapur,SG,Asia,playground,required,true,,,,,ACTIVE,2026-09-10,Singapore,,verified
ch-lumo,Lumo,https://lumo.proton.me/,Switzerland,Suiza,CH,Europe,assistant,optional,true,true,,true,true,ACTIVE,2026-09-10,Switzerland,,verified
ch-public-ai,Public AI,https://chat.publicai.co/,Switzerland,Suiza,CH,Europe,multi-model-platform,optional,true,true,,,true,ACTIVE,2026-09-10,,,partial
us-chatgpt,ChatGPT,https://chatgpt.com/,United States,Estados Unidos,US,North America,assistant,required,true,true,true,true,true,ACTIVE,2026-09-10,United States,,verified
us-claude,Claude,https://claude.ai/new,United States,Estados Unidos,US,North America,assistant,required,true,true,,,true,ACTIVE,2026-09-10,United States,,verified
us-copilot,Copilot,https://copilot.microsoft.com/,United States,Estados Unidos,US,North America,assistant,optional,true,true,true,true,true,ACTIVE,2026-09-10,United States,,verified
us-gemini,Gemini,https://gemini.google.com/app,United States,Estados Unidos,US,North America,assistant,required,true,true,true,true,,ACTIVE,2026-09-10,United States,,verified
us-google-ai-studio,Google AI Studio,https://aistudio.google.com/,United States,Estados Unidos,US,North America,playground,required,true,true,,,,ACTIVE,2026-09-10,United States,,verified
us-grok,Grok,https://grok.com/,United States,Estados Unidos,US,North America,assistant,required,true,true,true,true,true,ACTIVE,2026-09-10,United States,,verified
us-ibm-granite-playground,IBM Granite Playground,https://www.ibm.com/granite/playground,United States,Estados Unidos,US,North America,playground,none,true,,,,true,LIMITED,2026-09-10,United States,,verified
us-laguna,Laguna,https://chat.poolside.ai/,United States,Estados Unidos,US,North America,model-chat,unknown,true,,true,,,ACTIVE,2026-09-10,,,curator-verified
us-meta-ai,Meta AI,https://www.meta.ai/,United States,Estados Unidos,US,North America,assistant,unknown,true,true,,,,ACTIVE,2026-09-10,United States,,verified
us-monkey-code,Monkey Code,https://monkeycode-ai.net/,United States,Estados Unidos,US,North America,coding-agent,unknown,true,,,,,ACTIVE,2026-09-10,,,curator-verified
us-morphic,Morphic,https://chat.morphic.sh/,United States,Estados Unidos,US,North America,search-assistant,unknown,true,,,,true,ACTIVE,2026-09-10,,,curator-verified
us-notebooklm,NotebookLM,https://notebooklm.google.com/,United States,Estados Unidos,US,North America,research-notebook,required,true,,true,true,true,ACTIVE,2026-09-10,United States,,verified
us-perplexity,Perplexity,https://www.perplexity.ai/,United States,Estados Unidos,US,North America,search-assistant,optional,true,true,true,true,true,ACTIVE,2026-09-10,,,curator-verified
us-pi,Pi,https://pi.ai/,United States,Estados Unidos,US,North America,assistant,unknown,true,,true,,,ACTIVE,2026-09-10,,,curator-verified
us-textcortex,TextCortex,https://app.textcortex.com/user/dashboard/chat,United States,Estados Unidos,US,North America,assistant,required,true,,,,,ACTIVE,2026-09-10,Germany,de-textcortex,verified
us-venice,Venice,https://venice.ai/chat,United States,Estados Unidos,US,North America,multi-model-platform,optional,true,true,true,true,true,ACTIVE,2026-09-10,United States,,verified
us-you-com,You.com,https://you.com/,United States,Estados Unidos,US,North America,search-assistant,unknown,true,,,,true,ACTIVE,2026-09-10,,,curator-verified
uz-coreai-chat,CoreAI Chat,https://chat.coreai.uz/,Uzbekistan,Uzbekistán,UZ,Asia,multi-model-platform,optional,true,,,,,ACTIVE,2026-09-10,Uzbekistan,,verified
